,date,price,bedrooms,bathrooms,sqft_living,floors,view,condition,yr_built,zipcode,lat,long,yr_bin,zip_bin,bed_cat,floor_cat,condition_cat,view_cat,baths
41,2014-08-11,775000.0,4,2.25,4220,1.0,0.0,3,1984,98166,47.445,-122.34700000000001,80s,"(98155.0, 98177.0]",4,1.0,3,0.0,2-3
43,2014-10-28,685000.0,3,1.0,1570,2.0,0.0,3,1922,98119,47.6413,-122.36399999999999,20s,"(98118.0, 98125.0]",3,2.0,3,0.0,0-1
44,2014-07-29,309000.0,3,1.0,1280,1.0,0.0,4,1959,98058,47.4485,-122.175,50s,"(98053.0, 98058.0]",3,1.0,4,0.0,0-1
45,2014-07-18,488000.0,3,2.5,3160,2.0,0.0,3,2003,98019,47.7443,-121.977,00s,"(98010.0, 98023.0]",3,2.0,3,0.0,2-3
46,2015-03-25,210490.0,3,1.0,990,1.0,0.0,3,1966,98023,47.3066,-122.37100000000001,60s,"(98010.0, 98023.0]",3,1.0,3,0.0,0-1
47,2014-07-16,785000.0,4,2.5,2290,2.0,0.0,4,1981,98007,47.6194,-122.15100000000001,80s,"(98004.0, 98010.0]",4,2.0,4,0.0,2-3
48,2015-04-28,450000.0,3,1.75,1250,1.0,0.0,4,1953,98115,47.6796,-122.301,50s,"(98107.0, 98115.0]",3,1.0,4,0.0,1-2
49,2015-03-11,1350000.0,3,2.5,2753,1.0,2.0,5,1953,98070,47.4041,-122.45100000000001,50s,"(98058.0, 98070.0]",3,1.0,5,2.0,2-3
50,2014-09-16,228000.0,3,1.0,1190,1.0,0.0,3,1955,98148,47.4258,-122.322,50s,"(98133.0, 98155.0]",3,1.0,3,0.0,0-1
52,2014-12-31,600000.0,3,1.75,1410,1.0,0.0,4,1950,98117,47.6808,-122.384,40s,"(98115.0, 98118.0]",3,1.0,4,0.0,1-2
53,2015-02-05,585000.0,2,1.75,1980,1.0,0.0,3,1981,98117,47.6989,-122.369,80s,"(98115.0, 98118.0]",2,1.0,3,0.0,1-2
55,2014-05-12,885000.0,4,2.5,2830,2.0,0.0,3,1995,98105,47.6597,-122.29,90s,"(98103.0, 98107.0]",4,2.0,3,0.0,2-3
56,2014-08-19,292500.0,4,2.5,2250,2.0,0.0,3,2008,98042,47.3663,-122.11399999999999,00s,"(98038.0, 98042.0]",4,2.0,3,0.0,2-3
57,2015-04-07,301000.0,3,2.5,2420,2.0,0.0,3,2003,98042,47.3663,-122.12200000000001,00s,"(98038.0, 98042.0]",3,2.0,3,0.0,2-3
59,2015-02-23,430000.0,4,3.0,1850,2.0,0.0,3,1991,98059,47.5059,-122.149,90s,"(98058.0, 98070.0]",4,2.0,3,0.0,2-3
60,2014-12-10,650000.0,3,2.25,2150,1.0,3.0,4,1959,98166,47.4336,-122.339,50s,"(98155.0, 98177.0]",3,1.0,4,3.0,2-3
61,2014-08-28,289000.0,3,1.75,1260,1.0,0.0,3,1954,98148,47.4366,-122.335,50s,"(98133.0, 98155.0]",3,1.0,3,0.0,1-2
62,2014-10-21,505000.0,3,1.75,2519,2.0,0.0,5,1973,98166,47.4428,-122.344,70s,"(98155.0, 98177.0]",3,2.0,5,0.0,1-2
63,2014-12-07,549000.0,3,1.75,1540,3.0,0.0,3,2014,98115,47.6765,-122.32,10s,"(98107.0, 98115.0]",3,3.0,3,0.0,1-2
64,2014-06-03,425000.0,3,2.25,1660,1.0,0.0,3,1979,98122,47.6113,-122.29700000000001,70s,"(98118.0, 98125.0]",3,1.0,3,0.0,2-3
65,2014-11-20,317625.0,3,2.75,2770,1.5,0.0,5,1925,98144,47.5747,-122.304,20s,"(98133.0, 98155.0]",3,1.5,5,0.0,2-3
66,2014-09-09,975000.0,4,2.5,2720,2.0,0.0,3,1989,98004,47.5815,-122.19200000000001,80s,"(98000.999, 98004.0]",4,2.0,3,0.0,2-3
67,2014-10-09,287000.0,4,2.5,2240,2.0,0.0,3,2005,98001,47.3378,-122.257,00s,"(98000.999, 98004.0]",4,2.0,3,0.0,2-3
68,2014-08-25,204000.0,3,1.0,1000,1.0,0.0,4,1968,98042,47.3621,-122.11,60s,"(98038.0, 98042.0]",3,1.0,4,0.0,0-1
71,2015-01-05,325000.0,3,2.0,1260,1.0,0.0,4,1972,98034,47.7362,-122.179,70s,"(98033.0, 98038.0]",3,1.0,4,0.0,1-2
72,2014-06-10,571000.0,4,2.0,2750,1.5,0.0,5,1916,98125,47.7168,-122.287,pre-20s,"(98118.0, 98125.0]",4,1.5,5,0.0,1-2
73,2014-07-10,360000.0,4,2.5,2380,2.0,0.0,3,2005,98038,47.3608,-122.036,00s,"(98033.0, 98038.0]",4,2.0,3,0.0,2-3
74,2015-03-16,349000.0,3,1.75,1790,1.0,0.0,5,1965,98042,47.3511,-122.073,60s,"(98038.0, 98042.0]",3,1.0,5,0.0,1-2
75,2014-11-05,832500.0,4,4.0,3430,2.0,0.0,4,1986,98075,47.5822,-121.98700000000001,80s,"(98070.0, 98075.0]",4,2.0,4,0.0,3-4
76,2014-10-13,380000.0,4,1.75,1760,1.0,0.0,3,1956,98008,47.6034,-122.125,50s,"(98004.0, 98010.0]",4,1.0,3,0.0,1-2
77,2015-04-20,480000.0,3,1.0,1040,1.0,0.0,3,1941,98116,47.5636,-122.39399999999999,40s,"(98115.0, 98118.0]",3,1.0,3,0.0,0-1
78,2014-06-09,410000.0,3,1.0,1410,1.0,0.0,4,1956,98133,47.7073,-122.34,50s,"(98125.0, 98133.0]",3,1.0,4,0.0,0-1
79,2015-03-23,720000.0,4,2.5,3450,2.0,0.0,3,2002,98010,47.342,-122.025,00s,"(98004.0, 98010.0]",4,2.0,3,0.0,2-3
80,2014-12-02,390000.0,3,2.5,2350,2.0,0.0,3,2003,98038,47.3512,-122.008,00s,"(98033.0, 98038.0]",3,2.0,3,0.0,2-3
81,2014-12-22,360000.0,4,2.5,1900,2.0,0.0,3,1992,98038,47.349,-122.031,90s,"(98033.0, 98038.0]",4,2.0,3,0.0,2-3
82,2014-10-28,355000.0,2,1.0,2020,1.0,0.0,3,1948,98118,47.5474,-122.291,40s,"(98115.0, 98118.0]",2,1.0,3,0.0,0-1
83,2015-01-28,356000.0,3,1.5,1680,1.0,0.0,3,1964,98059,47.4811,-122.149,60s,"(98058.0, 98070.0]",3,1.0,3,0.0,1-2
84,2014-06-02,315000.0,3,1.0,960,1.0,0.0,3,1952,98125,47.7264,-122.31,50s,"(98118.0, 98125.0]",3,1.0,3,0.0,0-1
85,2014-11-14,940000.0,3,1.5,2140,2.0,0.0,3,1925,98119,47.6337,-122.365,20s,"(98118.0, 98125.0]",3,2.0,3,0.0,1-2
87,2014-06-18,461000.0,3,3.25,2770,2.0,0.0,3,2006,98056,47.5228,-122.199,00s,"(98053.0, 98058.0]",3,2.0,3,0.0,3-4
88,2014-05-19,215000.0,2,2.25,1610,2.0,0.0,4,1979,98056,47.518,-122.194,70s,"(98053.0, 98058.0]",2,2.0,4,0.0,2-3
89,2014-09-04,335000.0,2,1.75,1030,2.0,0.0,3,2006,98136,47.5394,-122.387,00s,"(98133.0, 98155.0]",2,2.0,3,0.0,1-2
90,2014-05-22,243500.0,4,2.5,1980,2.0,0.0,3,1988,98023,47.2897,-122.37200000000001,80s,"(98010.0, 98023.0]",4,2.0,3,0.0,2-3
92,2015-02-26,153000.0,3,1.0,1200,1.0,0.0,3,1962,98023,47.321999999999996,-122.351,60s,"(98010.0, 98023.0]",3,1.0,3,0.0,0-1
93,2014-07-25,430000.0,3,1.5,1580,1.0,0.0,3,1939,98117,47.687,-122.38600000000001,30s,"(98115.0, 98118.0]",3,1.0,3,0.0,1-2
94,2014-12-23,700000.0,3,1.5,1580,1.0,0.0,3,1939,98117,47.687,-122.38600000000001,30s,"(98115.0, 98118.0]",3,1.0,3,0.0,1-2
95,2014-09-08,905000.0,4,2.5,3300,1.0,0.0,3,1946,98040,47.5873,-122.249,40s,"(98038.0, 98042.0]",4,1.0,3,0.0,2-3
96,2015-03-30,247500.0,3,1.75,1960,1.0,0.0,3,1967,98032,47.3576,-122.277,60s,"(98029.0, 98033.0]",3,1.0,3,0.0,1-2
97,2014-09-12,199000.0,4,1.5,1160,1.0,0.0,4,1975,98023,47.3036,-122.37799999999999,70s,"(98010.0, 98023.0]",4,1.0,4,0.0,1-2
98,2014-07-11,314000.0,3,1.75,1810,1.0,0.0,5,1980,98038,47.4109,-121.958,70s,"(98033.0, 98038.0]",3,1.0,5,0.0,1-2
99,2014-05-16,437500.0,3,2.5,2320,2.0,2.0,3,1992,98045,47.4838,-121.714,90s,"(98042.0, 98053.0]",3,2.0,3,2.0,2-3
100,2014-06-11,850830.0,3,2.5,2070,1.5,0.0,5,1910,98102,47.6415,-122.315,pre-20s,"(98075.0, 98103.0]",3,1.5,5,0.0,2-3
101,2014-10-27,555000.0,3,2.0,1980,1.5,0.0,4,1929,98117,47.6775,-122.37200000000001,20s,"(98115.0, 98118.0]",3,1.5,4,0.0,1-2
102,2014-12-12,699950.0,3,2.25,2190,2.0,0.0,4,1983,98077,47.7731,-122.08,80s,"(98075.0, 98103.0]",3,2.0,4,0.0,2-3
103,2014-10-07,1090000.0,3,2.5,2920,2.0,0.0,3,1950,98004,47.5814,-122.196,40s,"(98000.999, 98004.0]",3,2.0,3,0.0,2-3
104,2014-09-24,290000.0,3,1.0,1210,1.0,0.0,3,1954,98058,47.4375,-122.184,50s,"(98053.0, 98058.0]",3,1.0,3,0.0,0-1
105,2015-04-02,375000.0,3,2.5,2340,1.0,0.0,4,1978,98058,47.4431,-122.133,70s,"(98053.0, 98058.0]",3,1.0,4,0.0,2-3
106,2014-05-23,460000.0,3,1.0,1670,1.5,0.0,4,1939,98117,47.6878,-122.38,30s,"(98115.0, 98118.0]",3,1.5,4,0.0,0-1
107,2014-07-23,188500.0,2,1.75,1240,1.0,0.0,4,1985,98198,47.3813,-122.322,80s,"(98177.0, 98199.0]",2,1.0,4,0.0,1-2
108,2015-03-05,680000.0,4,2.5,3140,2.0,0.0,4,1991,98077,47.7304,-122.08200000000001,90s,"(98075.0, 98103.0]",4,2.0,4,0.0,2-3
110,2014-07-25,597750.0,4,2.5,2310,2.0,0.0,3,1984,98027,47.5386,-122.053,80s,"(98023.0, 98029.0]",4,2.0,3,0.0,2-3
111,2015-03-04,570000.0,3,1.75,1260,1.0,0.0,5,1905,98103,47.6823,-122.34899999999999,pre-20s,"(98075.0, 98103.0]",3,1.0,5,0.0,1-2
112,2014-09-16,272500.0,3,1.75,1540,1.0,0.0,4,1980,98038,47.3624,-122.031,70s,"(98033.0, 98038.0]",3,1.0,4,0.0,1-2
113,2014-11-24,329950.0,3,1.75,2080,1.0,2.0,3,1971,98108,47.5474,-122.295,70s,"(98107.0, 98115.0]",3,1.0,3,2.0,1-2
115,2014-11-21,740500.0,3,3.5,4380,2.0,0.0,3,1900,98117,47.6981,-122.368,pre-20s,"(98115.0, 98118.0]",3,2.0,3,0.0,3-4
116,2014-06-26,518500.0,3,3.5,1590,3.0,0.0,3,2010,98103,47.6824,-122.34700000000001,00s,"(98075.0, 98103.0]",3,3.0,3,0.0,3-4
117,2014-06-23,205425.0,2,1.0,880,1.0,0.0,4,1945,98178,47.5009,-122.24799999999999,40s,"(98177.0, 98199.0]",2,1.0,4,0.0,0-1
118,2015-01-08,171800.0,4,2.0,1570,1.0,0.0,3,1950,98168,47.4965,-122.303,40s,"(98155.0, 98177.0]",4,1.0,3,0.0,1-2
119,2015-05-11,535000.0,4,1.0,1610,1.5,0.0,4,1925,98144,47.586999999999996,-122.294,20s,"(98133.0, 98155.0]",4,1.5,4,0.0,0-1
120,2015-01-02,660000.0,3,2.5,2400,1.0,2.0,3,1964,98177,47.7728,-122.38600000000001,60s,"(98155.0, 98177.0]",3,1.0,3,2.0,2-3
121,2014-11-19,391500.0,3,2.0,1450,1.0,0.0,3,1987,98034,47.7288,-122.226,80s,"(98033.0, 98038.0]",3,1.0,3,0.0,1-2
122,2015-04-06,395000.0,2,1.0,770,1.0,0.0,3,1953,98117,47.6999,-122.36399999999999,50s,"(98115.0, 98118.0]",2,1.0,3,0.0,0-1
123,2014-11-04,445000.0,4,1.75,2100,1.5,0.0,5,1924,98118,47.5299,-122.266,20s,"(98115.0, 98118.0]",4,1.5,5,0.0,1-2
124,2014-06-18,770000.0,3,2.25,2910,2.0,0.0,3,1990,98052,47.6897,-122.098,80s,"(98042.0, 98053.0]",3,2.0,3,0.0,2-3
125,2015-03-02,1450000.0,4,2.75,2750,1.5,0.0,3,1914,98004,47.6141,-122.212,pre-20s,"(98000.999, 98004.0]",4,1.5,3,0.0,2-3
126,2014-07-17,445000.0,3,2.25,2100,1.0,2.0,3,1967,98178,47.5091,-122.244,60s,"(98177.0, 98199.0]",3,1.0,3,2.0,2-3
127,2014-07-17,260000.0,4,2.25,2160,1.0,0.0,3,1978,98023,47.3129,-122.39,70s,"(98010.0, 98023.0]",4,1.0,3,0.0,2-3
130,2015-01-05,212000.0,3,1.75,1060,1.0,0.0,4,1986,98092,47.2761,-122.152,80s,"(98075.0, 98103.0]",3,1.0,4,0.0,1-2
131,2015-04-28,660500.0,4,2.25,2010,1.0,0.0,3,1986,98027,47.5343,-122.054,80s,"(98023.0, 98029.0]",4,1.0,3,0.0,2-3
132,2014-06-12,784000.0,3,3.5,3950,1.5,0.0,3,1989,98052,47.696999999999996,-122.072,80s,"(98042.0, 98053.0]",3,1.5,3,0.0,3-4
133,2014-05-12,453246.0,3,2.5,2010,2.0,0.0,3,2014,98029,47.5517,-121.99799999999999,10s,"(98023.0, 98029.0]",3,2.0,3,0.0,2-3
134,2015-01-26,675000.0,4,3.5,2140,3.0,0.0,3,2005,98107,47.6734,-122.38,00s,"(98103.0, 98107.0]",4,3.0,3,0.0,3-4
135,2014-08-13,199000.0,3,1.75,1320,1.0,0.0,4,1956,98003,47.3257,-122.296,50s,"(98000.999, 98004.0]",3,1.0,4,0.0,1-2
136,2014-08-05,220000.0,4,1.75,2020,1.0,0.0,3,1968,98003,47.3309,-122.29899999999999,60s,"(98000.999, 98004.0]",4,1.0,3,0.0,1-2
137,2014-05-29,452000.0,4,2.25,2590,1.0,0.0,4,1968,98028,47.7689,-122.266,60s,"(98023.0, 98029.0]",4,1.0,4,0.0,2-3
138,2014-07-07,382500.0,2,1.0,1190,1.0,0.0,3,1981,98125,47.7135,-122.287,80s,"(98118.0, 98125.0]",2,1.0,3,0.0,0-1
139,2014-05-07,519950.0,3,2.25,1170,3.0,0.0,3,2014,98107,47.6722,-122.381,10s,"(98103.0, 98107.0]",3,3.0,3,0.0,2-3
140,2014-06-27,665000.0,2,1.0,1110,1.0,0.0,3,1925,98119,47.6338,-122.35799999999999,20s,"(98118.0, 98125.0]",2,1.0,3,0.0,0-1
142,2015-05-08,205000.0,3,1.0,1610,1.0,0.0,4,1962,98058,47.4563,-122.171,60s,"(98053.0, 98058.0]",3,1.0,4,0.0,0-1
143,2015-04-15,420000.0,3,1.0,1060,1.0,0.0,4,1923,98133,47.7144,-122.351,20s,"(98125.0, 98133.0]",3,1.0,4,0.0,0-1
144,2015-02-27,500000.0,4,2.25,2030,1.0,0.0,4,1961,98006,47.5495,-122.17399999999999,60s,"(98004.0, 98010.0]",4,1.0,4,0.0,2-3
145,2014-12-03,921500.0,4,2.5,3670,2.0,0.0,4,1994,98077,47.7421,-122.02600000000001,90s,"(98075.0, 98103.0]",4,2.0,4,0.0,2-3
146,2014-06-25,890000.0,4,1.0,2550,2.0,0.0,3,1905,98109,47.6354,-122.353,pre-20s,"(98107.0, 98115.0]",4,2.0,3,0.0,0-1
147,2014-08-06,430000.0,2,2.5,2420,2.0,0.0,3,2007,98027,47.5262,-121.943,00s,"(98023.0, 98029.0]",2,2.0,3,0.0,2-3
149,2014-11-04,511000.0,3,1.0,1430,1.0,0.0,3,1947,98103,47.6873,-122.336,40s,"(98075.0, 98103.0]",3,1.0,3,0.0,0-1
150,2014-08-20,532170.0,3,2.0,1360,2.0,0.0,3,1990,98103,47.6838,-122.353,80s,"(98075.0, 98103.0]",3,2.0,3,0.0,1-2
151,2015-04-09,560000.0,3,1.0,1110,1.5,0.0,3,1947,98107,47.655,-122.359,40s,"(98103.0, 98107.0]",3,1.5,3,0.0,0-1
152,2015-03-31,282950.0,3,1.0,1250,1.0,0.0,4,1954,98003,47.3255,-122.304,50s,"(98000.999, 98004.0]",3,1.0,4,0.0,0-1
153,2015-04-01,2250000.0,4,3.25,5180,2.0,3.0,3,2006,98006,47.562,-122.162,00s,"(98004.0, 98010.0]",4,2.0,3,3.0,3-4
154,2014-05-16,350000.0,1,1.0,700,1.0,0.0,3,1942,98115,47.678999999999995,-122.3,40s,"(98107.0, 98115.0]",1,1.0,3,0.0,0-1
155,2014-07-28,215000.0,3,1.0,1180,1.0,0.0,4,1967,98058,47.4479,-122.176,60s,"(98053.0, 98058.0]",3,1.0,4,0.0,0-1
157,2014-08-07,320000.0,4,2.75,2640,1.0,0.0,3,1967,98023,47.3135,-122.369,60s,"(98010.0, 98023.0]",4,1.0,3,0.0,2-3
158,2014-11-13,247000.0,3,2.0,1270,1.5,0.0,3,1916,98022,47.2086,-121.99600000000001,pre-20s,"(98010.0, 98023.0]",3,1.5,3,0.0,1-2
159,2014-10-03,320000.0,4,1.75,1760,1.0,0.0,4,1968,98059,47.4715,-122.118,60s,"(98058.0, 98070.0]",4,1.0,4,0.0,1-2
161,2015-03-09,438000.0,3,1.75,1780,1.0,0.0,3,1962,98034,47.7171,-122.193,60s,"(98033.0, 98038.0]",3,1.0,3,0.0,1-2
162,2015-03-04,900000.0,3,2.5,3400,2.0,0.0,3,2000,98075,47.6012,-122.023,90s,"(98070.0, 98075.0]",3,2.0,3,0.0,2-3
163,2014-06-20,441000.0,3,2.75,1910,1.0,0.0,3,1979,98034,47.7319,-122.22399999999999,70s,"(98033.0, 98038.0]",3,1.0,3,0.0,2-3
164,2014-08-12,420000.0,3,2.0,2020,1.0,0.0,4,1975,98027,47.4582,-122.023,70s,"(98023.0, 98029.0]",3,1.0,4,0.0,1-2
165,2014-12-08,370000.0,3,1.75,1580,1.0,0.0,3,1976,98034,47.7209,-122.16799999999999,70s,"(98033.0, 98038.0]",3,1.0,3,0.0,1-2
166,2015-02-19,269950.0,2,1.75,1340,1.0,0.0,5,1949,98198,47.408,-122.32700000000001,40s,"(98177.0, 98199.0]",2,1.0,5,0.0,1-2
167,2015-03-24,807100.0,4,2.5,2680,2.0,0.0,3,1999,98006,47.565,-122.125,90s,"(98004.0, 98010.0]",4,2.0,3,0.0,2-3
168,2014-06-05,653000.0,3,2.5,2680,1.0,0.0,4,1979,98034,47.7028,-122.23100000000001,70s,"(98033.0, 98038.0]",3,1.0,4,0.0,2-3
169,2014-06-11,371500.0,3,2.0,1370,1.0,0.0,5,1964,98133,47.7458,-122.331,60s,"(98125.0, 98133.0]",3,1.0,5,0.0,1-2
170,2015-03-16,284000.0,3,1.75,1560,1.0,0.0,3,1954,98166,47.4776,-122.337,50s,"(98155.0, 98177.0]",3,1.0,3,0.0,1-2
171,2015-01-02,272000.0,3,1.75,2160,1.0,0.0,4,1978,98023,47.3026,-122.374,70s,"(98010.0, 98023.0]",3,1.0,4,0.0,1-2
172,2014-05-02,313000.0,3,1.5,1340,1.5,0.0,3,1955,98133,47.7658,-122.339,50s,"(98125.0, 98133.0]",3,1.5,3,0.0,1-2
173,2015-01-16,917500.0,4,2.5,3880,2.0,0.0,3,1984,98033,47.6477,-122.182,80s,"(98029.0, 98033.0]",4,2.0,3,0.0,2-3
174,2014-09-29,673000.0,4,2.25,2590,2.0,0.0,4,1980,98006,47.5619,-122.125,70s,"(98004.0, 98010.0]",4,2.0,4,0.0,2-3
175,2015-02-10,425000.0,3,2.5,1120,2.0,0.0,3,2008,98122,47.6106,-122.31,00s,"(98118.0, 98125.0]",3,2.0,3,0.0,2-3
177,2014-05-30,385000.0,3,1.0,1220,1.0,0.0,3,1901,98122,47.6101,-122.307,pre-20s,"(98118.0, 98125.0]",3,1.0,3,0.0,0-1
178,2014-11-17,269950.0,3,1.5,1950,1.0,2.0,4,1975,98022,47.1976,-121.999,70s,"(98010.0, 98023.0]",3,1.0,4,2.0,1-2
179,2015-01-07,330000.0,2,1.0,1350,1.0,0.0,3,1949,98177,47.7224,-122.35799999999999,40s,"(98155.0, 98177.0]",2,1.0,3,0.0,0-1
180,2014-07-25,260000.0,3,2.5,1670,2.0,0.0,3,1988,98030,47.3505,-122.179,80s,"(98029.0, 98033.0]",3,2.0,3,0.0,2-3
181,2015-04-14,470000.0,4,3.0,2380,1.5,0.0,4,1925,98126,47.5384,-122.376,20s,"(98125.0, 98133.0]",4,1.5,4,0.0,2-3
182,2014-06-13,589000.0,4,3.0,2440,2.0,0.0,5,1961,98034,47.7044,-122.2,60s,"(98033.0, 98038.0]",4,2.0,5,0.0,2-3
183,2014-07-23,163500.0,2,1.5,1050,2.0,0.0,3,1996,98038,47.3848,-122.039,90s,"(98033.0, 98038.0]",2,2.0,3,0.0,1-2
184,2014-09-05,835000.0,4,2.75,3130,2.0,0.0,3,1993,98052,47.6993,-122.102,90s,"(98042.0, 98053.0]",4,2.0,3,0.0,2-3
