,price,sqft_living,bedrooms,bathrooms,floors,condition,view,yr_built,zipcode,yr_bin,zip_bin,baths,bed_cat,floor_cat,condition_cat,view_cat,lat,long,$/sqft,bath/bed,bath/sqft,bed/sqft
23,252700.0,1070,2,1.5,1.0,3,0.0,1985,98030,80s,"(98029.0, 98033.0]",1-2,2,1.0,3,0.0,47.3533,-122.166,236.16822429906543,0.75,0.0014018691588785046,0.001869158878504673
24,329000.0,2450,3,2.25,2.0,4,0.0,1985,98030,80s,"(98029.0, 98033.0]",2-3,3,2.0,4,0.0,47.3739,-122.17200000000001,134.28571428571428,0.75,0.0009183673469387755,0.0012244897959183673
25,233000.0,1710,3,2.0,1.5,5,0.0,1941,98002,40s,"(98000.999, 98004.0]",1-2,3,1.5,5,0.0,47.3048,-122.21799999999999,136.25730994152048,0.6666666666666666,0.0011695906432748538,0.0017543859649122807
26,937000.0,2450,3,1.75,2.0,3,0.0,1915,98119,pre-20s,"(98118.0, 98125.0]",1-2,3,2.0,3,0.0,47.6386,-122.36,382.44897959183675,0.5833333333333334,0.0007142857142857143,0.0012244897959183673
27,667000.0,1400,3,1.0,1.5,5,0.0,1909,98112,pre-20s,"(98107.0, 98115.0]",0-1,3,1.5,5,0.0,47.6221,-122.314,476.42857142857144,0.3333333333333333,0.0007142857142857143,0.002142857142857143
28,438000.0,1520,3,1.75,1.0,3,0.0,1948,98115,40s,"(98107.0, 98115.0]",1-2,3,1.0,3,0.0,47.695,-122.304,288.1578947368421,0.5833333333333334,0.001151315789473684,0.001973684210526316
29,719000.0,2570,4,2.5,2.0,3,0.0,2005,98052,00s,"(98042.0, 98053.0]",2-3,4,2.0,3,0.0,47.7073,-122.11,279.76653696498056,0.625,0.0009727626459143969,0.0015564202334630351
30,580500.0,2320,3,2.5,2.0,3,0.0,2003,98027,00s,"(98023.0, 98029.0]",2-3,3,2.0,3,0.0,47.5391,-122.07,250.2155172413793,0.8333333333333334,0.0010775862068965517,0.001293103448275862
31,280000.0,1190,2,1.5,3.0,3,0.0,2005,98133,00s,"(98125.0, 98133.0]",1-2,2,3.0,3,0.0,47.7274,-122.35700000000001,235.2941176470588,0.75,0.0012605042016806723,0.0016806722689075631
32,687500.0,2330,4,1.75,1.5,4,0.0,1929,98117,20s,"(98115.0, 98118.0]",1-2,4,1.5,4,0.0,47.6823,-122.368,295.06437768240346,0.4375,0.0007510729613733906,0.0017167381974248926
33,535000.0,1090,3,1.0,1.5,4,0.0,1929,98117,20s,"(98115.0, 98118.0]",0-1,3,1.5,4,0.0,47.6889,-122.375,490.8256880733945,0.3333333333333333,0.0009174311926605505,0.0027522935779816515
34,322500.0,2060,4,2.75,1.0,3,0.0,1981,98058,80s,"(98053.0, 98058.0]",2-3,4,1.0,3,0.0,47.4276,-122.15700000000001,156.55339805825244,0.6875,0.0013349514563106796,0.001941747572815534
35,696000.0,2300,3,2.5,1.5,3,0.0,1930,98115,20s,"(98107.0, 98115.0]",2-3,3,1.5,3,0.0,47.6827,-122.31,302.60869565217394,0.8333333333333334,0.0010869565217391304,0.0013043478260869566
36,550000.0,1660,4,1.0,1.0,1,0.0,1933,98052,30s,"(98042.0, 98053.0]",0-1,4,1.0,1,0.0,47.6621,-122.132,331.32530120481925,0.25,0.0006024096385542169,0.0024096385542168677
37,640000.0,2360,4,2.0,2.0,4,0.0,1904,98107,pre-20s,"(98103.0, 98107.0]",1-2,4,2.0,4,0.0,47.6702,-122.36200000000001,271.1864406779661,0.5,0.000847457627118644,0.001694915254237288
38,240000.0,1220,4,1.0,1.0,2,0.0,1969,98001,60s,"(98000.999, 98004.0]",0-1,4,1.0,2,0.0,47.3341,-122.28200000000001,196.72131147540983,0.25,0.000819672131147541,0.003278688524590164
39,605000.0,2620,4,2.5,2.0,3,0.0,1996,98056,90s,"(98053.0, 98058.0]",2-3,4,2.0,3,0.0,47.5301,-122.18,230.91603053435114,0.625,0.0009541984732824427,0.0015267175572519084
40,625000.0,2570,4,2.5,2.0,3,0.0,2000,98074,90s,"(98070.0, 98075.0]",2-3,4,2.0,3,0.0,47.6145,-122.027,243.19066147859922,0.625,0.0009727626459143969,0.0015564202334630351
41,775000.0,4220,4,2.25,1.0,3,0.0,1984,98166,80s,"(98155.0, 98177.0]",2-3,4,1.0,3,0.0,47.445,-122.34700000000001,183.64928909952607,0.5625,0.0005331753554502369,0.0009478672985781991
43,685000.0,1570,3,1.0,2.0,3,0.0,1922,98119,20s,"(98118.0, 98125.0]",0-1,3,2.0,3,0.0,47.6413,-122.36399999999999,436.30573248407643,0.3333333333333333,0.0006369426751592356,0.001910828025477707
44,309000.0,1280,3,1.0,1.0,4,0.0,1959,98058,50s,"(98053.0, 98058.0]",0-1,3,1.0,4,0.0,47.4485,-122.175,241.40625,0.3333333333333333,0.00078125,0.00234375
45,488000.0,3160,3,2.5,2.0,3,0.0,2003,98019,00s,"(98010.0, 98023.0]",2-3,3,2.0,3,0.0,47.7443,-121.977,154.43037974683546,0.8333333333333334,0.0007911392405063291,0.0009493670886075949
46,210490.0,990,3,1.0,1.0,3,0.0,1966,98023,60s,"(98010.0, 98023.0]",0-1,3,1.0,3,0.0,47.3066,-122.37100000000001,212.6161616161616,0.3333333333333333,0.00101010101010101,0.0030303030303030303
47,785000.0,2290,4,2.5,2.0,4,0.0,1981,98007,80s,"(98004.0, 98010.0]",2-3,4,2.0,4,0.0,47.6194,-122.15100000000001,342.7947598253275,0.625,0.001091703056768559,0.0017467248908296944
48,450000.0,1250,3,1.75,1.0,4,0.0,1953,98115,50s,"(98107.0, 98115.0]",1-2,3,1.0,4,0.0,47.6796,-122.301,360.0,0.5833333333333334,0.0014,0.0024
49,1350000.0,2753,3,2.5,1.0,5,2.0,1953,98070,50s,"(98058.0, 98070.0]",2-3,3,1.0,5,2.0,47.4041,-122.45100000000001,490.37413730475845,0.8333333333333334,0.0009081002542680712,0.0010897203051216855
50,228000.0,1190,3,1.0,1.0,3,0.0,1955,98148,50s,"(98133.0, 98155.0]",0-1,3,1.0,3,0.0,47.4258,-122.322,191.5966386554622,0.3333333333333333,0.0008403361344537816,0.0025210084033613447
52,600000.0,1410,3,1.75,1.0,4,0.0,1950,98117,40s,"(98115.0, 98118.0]",1-2,3,1.0,4,0.0,47.6808,-122.384,425.531914893617,0.5833333333333334,0.0012411347517730497,0.002127659574468085
53,585000.0,1980,2,1.75,1.0,3,0.0,1981,98117,80s,"(98115.0, 98118.0]",1-2,2,1.0,3,0.0,47.6989,-122.369,295.45454545454544,0.875,0.0008838383838383839,0.00101010101010101
55,885000.0,2830,4,2.5,2.0,3,0.0,1995,98105,90s,"(98103.0, 98107.0]",2-3,4,2.0,3,0.0,47.6597,-122.29,312.7208480565371,0.625,0.0008833922261484099,0.0014134275618374558
56,292500.0,2250,4,2.5,2.0,3,0.0,2008,98042,00s,"(98038.0, 98042.0]",2-3,4,2.0,3,0.0,47.3663,-122.11399999999999,130.0,0.625,0.0011111111111111111,0.0017777777777777779
57,301000.0,2420,3,2.5,2.0,3,0.0,2003,98042,00s,"(98038.0, 98042.0]",2-3,3,2.0,3,0.0,47.3663,-122.12200000000001,124.3801652892562,0.8333333333333334,0.0010330578512396695,0.0012396694214876034
59,430000.0,1850,4,3.0,2.0,3,0.0,1991,98059,90s,"(98058.0, 98070.0]",2-3,4,2.0,3,0.0,47.5059,-122.149,232.43243243243242,0.75,0.0016216216216216215,0.002162162162162162
60,650000.0,2150,3,2.25,1.0,4,3.0,1959,98166,50s,"(98155.0, 98177.0]",2-3,3,1.0,4,3.0,47.4336,-122.339,302.3255813953488,0.75,0.0010465116279069768,0.0013953488372093023
61,289000.0,1260,3,1.75,1.0,3,0.0,1954,98148,50s,"(98133.0, 98155.0]",1-2,3,1.0,3,0.0,47.4366,-122.335,229.36507936507937,0.5833333333333334,0.001388888888888889,0.002380952380952381
62,505000.0,2519,3,1.75,2.0,5,0.0,1973,98166,70s,"(98155.0, 98177.0]",1-2,3,2.0,5,0.0,47.4428,-122.344,200.47637951568083,0.5833333333333334,0.0006947201270345375,0.0011909487892020642
63,549000.0,1540,3,1.75,3.0,3,0.0,2014,98115,10s,"(98107.0, 98115.0]",1-2,3,3.0,3,0.0,47.6765,-122.32,356.4935064935065,0.5833333333333334,0.0011363636363636363,0.001948051948051948
64,425000.0,1660,3,2.25,1.0,3,0.0,1979,98122,70s,"(98118.0, 98125.0]",2-3,3,1.0,3,0.0,47.6113,-122.29700000000001,256.0240963855422,0.75,0.001355421686746988,0.0018072289156626507
65,317625.0,2770,3,2.75,1.5,5,0.0,1925,98144,20s,"(98133.0, 98155.0]",2-3,3,1.5,5,0.0,47.5747,-122.304,114.66606498194946,0.9166666666666666,0.0009927797833935018,0.0010830324909747292
66,975000.0,2720,4,2.5,2.0,3,0.0,1989,98004,80s,"(98000.999, 98004.0]",2-3,4,2.0,3,0.0,47.5815,-122.19200000000001,358.45588235294116,0.625,0.0009191176470588235,0.0014705882352941176
67,287000.0,2240,4,2.5,2.0,3,0.0,2005,98001,00s,"(98000.999, 98004.0]",2-3,4,2.0,3,0.0,47.3378,-122.257,128.125,0.625,0.0011160714285714285,0.0017857142857142857
68,204000.0,1000,3,1.0,1.0,4,0.0,1968,98042,60s,"(98038.0, 98042.0]",0-1,3,1.0,4,0.0,47.3621,-122.11,204.0,0.3333333333333333,0.001,0.003
71,325000.0,1260,3,2.0,1.0,4,0.0,1972,98034,70s,"(98033.0, 98038.0]",1-2,3,1.0,4,0.0,47.7362,-122.179,257.93650793650795,0.6666666666666666,0.0015873015873015873,0.002380952380952381
72,571000.0,2750,4,2.0,1.5,5,0.0,1916,98125,pre-20s,"(98118.0, 98125.0]",1-2,4,1.5,5,0.0,47.7168,-122.287,207.63636363636363,0.5,0.0007272727272727272,0.0014545454545454545
73,360000.0,2380,4,2.5,2.0,3,0.0,2005,98038,00s,"(98033.0, 98038.0]",2-3,4,2.0,3,0.0,47.3608,-122.036,151.26050420168067,0.625,0.0010504201680672268,0.0016806722689075631
74,349000.0,1790,3,1.75,1.0,5,0.0,1965,98042,60s,"(98038.0, 98042.0]",1-2,3,1.0,5,0.0,47.3511,-122.073,194.97206703910615,0.5833333333333334,0.0009776536312849163,0.0016759776536312849
75,832500.0,3430,4,4.0,2.0,4,0.0,1986,98075,80s,"(98070.0, 98075.0]",3-4,4,2.0,4,0.0,47.5822,-121.98700000000001,242.71137026239066,1.0,0.0011661807580174927,0.0011661807580174927
76,380000.0,1760,4,1.75,1.0,3,0.0,1956,98008,50s,"(98004.0, 98010.0]",1-2,4,1.0,3,0.0,47.6034,-122.125,215.9090909090909,0.4375,0.0009943181818181817,0.0022727272727272726
77,480000.0,1040,3,1.0,1.0,3,0.0,1941,98116,40s,"(98115.0, 98118.0]",0-1,3,1.0,3,0.0,47.5636,-122.39399999999999,461.53846153846155,0.3333333333333333,0.0009615384615384616,0.0028846153846153848
78,410000.0,1410,3,1.0,1.0,4,0.0,1956,98133,50s,"(98125.0, 98133.0]",0-1,3,1.0,4,0.0,47.7073,-122.34,290.78014184397165,0.3333333333333333,0.0007092198581560284,0.002127659574468085
79,720000.0,3450,4,2.5,2.0,3,0.0,2002,98010,00s,"(98004.0, 98010.0]",2-3,4,2.0,3,0.0,47.342,-122.025,208.69565217391303,0.625,0.0007246376811594203,0.0011594202898550724
80,390000.0,2350,3,2.5,2.0,3,0.0,2003,98038,00s,"(98033.0, 98038.0]",2-3,3,2.0,3,0.0,47.3512,-122.008,165.95744680851064,0.8333333333333334,0.0010638297872340426,0.001276595744680851
81,360000.0,1900,4,2.5,2.0,3,0.0,1992,98038,90s,"(98033.0, 98038.0]",2-3,4,2.0,3,0.0,47.349,-122.031,189.47368421052633,0.625,0.0013157894736842105,0.002105263157894737
82,355000.0,2020,2,1.0,1.0,3,0.0,1948,98118,40s,"(98115.0, 98118.0]",0-1,2,1.0,3,0.0,47.5474,-122.291,175.74257425742573,0.5,0.0004950495049504951,0.0009900990099009901
83,356000.0,1680,3,1.5,1.0,3,0.0,1964,98059,60s,"(98058.0, 98070.0]",1-2,3,1.0,3,0.0,47.4811,-122.149,211.9047619047619,0.5,0.0008928571428571428,0.0017857142857142857
84,315000.0,960,3,1.0,1.0,3,0.0,1952,98125,50s,"(98118.0, 98125.0]",0-1,3,1.0,3,0.0,47.7264,-122.31,328.125,0.3333333333333333,0.0010416666666666667,0.003125
85,940000.0,2140,3,1.5,2.0,3,0.0,1925,98119,20s,"(98118.0, 98125.0]",1-2,3,2.0,3,0.0,47.6337,-122.365,439.25233644859816,0.5,0.0007009345794392523,0.0014018691588785046
87,461000.0,2770,3,3.25,2.0,3,0.0,2006,98056,00s,"(98053.0, 98058.0]",3-4,3,2.0,3,0.0,47.5228,-122.199,166.4259927797834,1.0833333333333333,0.0011732851985559567,0.0010830324909747292
88,215000.0,1610,2,2.25,2.0,4,0.0,1979,98056,70s,"(98053.0, 98058.0]",2-3,2,2.0,4,0.0,47.518,-122.194,133.54037267080744,1.125,0.0013975155279503106,0.0012422360248447205
89,335000.0,1030,2,1.75,2.0,3,0.0,2006,98136,00s,"(98133.0, 98155.0]",1-2,2,2.0,3,0.0,47.5394,-122.387,325.24271844660194,0.875,0.0016990291262135922,0.001941747572815534
90,243500.0,1980,4,2.5,2.0,3,0.0,1988,98023,80s,"(98010.0, 98023.0]",2-3,4,2.0,3,0.0,47.2897,-122.37200000000001,122.97979797979798,0.625,0.0012626262626262627,0.00202020202020202
92,153000.0,1200,3,1.0,1.0,3,0.0,1962,98023,60s,"(98010.0, 98023.0]",0-1,3,1.0,3,0.0,47.321999999999996,-122.351,127.5,0.3333333333333333,0.0008333333333333334,0.0025
93,430000.0,1580,3,1.5,1.0,3,0.0,1939,98117,30s,"(98115.0, 98118.0]",1-2,3,1.0,3,0.0,47.687,-122.38600000000001,272.1518987341772,0.5,0.0009493670886075949,0.0018987341772151898
94,700000.0,1580,3,1.5,1.0,3,0.0,1939,98117,30s,"(98115.0, 98118.0]",1-2,3,1.0,3,0.0,47.687,-122.38600000000001,443.0379746835443,0.5,0.0009493670886075949,0.0018987341772151898
95,905000.0,3300,4,2.5,1.0,3,0.0,1946,98040,40s,"(98038.0, 98042.0]",2-3,4,1.0,3,0.0,47.5873,-122.249,274.24242424242425,0.625,0.0007575757575757576,0.0012121212121212121
96,247500.0,1960,3,1.75,1.0,3,0.0,1967,98032,60s,"(98029.0, 98033.0]",1-2,3,1.0,3,0.0,47.3576,-122.277,126.27551020408163,0.5833333333333334,0.0008928571428571428,0.001530612244897959
97,199000.0,1160,4,1.5,1.0,4,0.0,1975,98023,70s,"(98010.0, 98023.0]",1-2,4,1.0,4,0.0,47.3036,-122.37799999999999,171.55172413793105,0.375,0.001293103448275862,0.0034482758620689655
98,314000.0,1810,3,1.75,1.0,5,0.0,1980,98038,70s,"(98033.0, 98038.0]",1-2,3,1.0,5,0.0,47.4109,-121.958,173.48066298342542,0.5833333333333334,0.0009668508287292818,0.0016574585635359116
99,437500.0,2320,3,2.5,2.0,3,2.0,1992,98045,90s,"(98042.0, 98053.0]",2-3,3,2.0,3,2.0,47.4838,-121.714,188.57758620689654,0.8333333333333334,0.0010775862068965517,0.001293103448275862
100,850830.0,2070,3,2.5,1.5,5,0.0,1910,98102,pre-20s,"(98075.0, 98103.0]",2-3,3,1.5,5,0.0,47.6415,-122.315,411.0289855072464,0.8333333333333334,0.0012077294685990338,0.0014492753623188406
101,555000.0,1980,3,2.0,1.5,4,0.0,1929,98117,20s,"(98115.0, 98118.0]",1-2,3,1.5,4,0.0,47.6775,-122.37200000000001,280.3030303030303,0.6666666666666666,0.00101010101010101,0.0015151515151515152
102,699950.0,2190,3,2.25,2.0,4,0.0,1983,98077,80s,"(98075.0, 98103.0]",2-3,3,2.0,4,0.0,47.7731,-122.08,319.61187214611874,0.75,0.0010273972602739725,0.0013698630136986301
103,1090000.0,2920,3,2.5,2.0,3,0.0,1950,98004,40s,"(98000.999, 98004.0]",2-3,3,2.0,3,0.0,47.5814,-122.196,373.28767123287673,0.8333333333333334,0.0008561643835616438,0.0010273972602739725
104,290000.0,1210,3,1.0,1.0,3,0.0,1954,98058,50s,"(98053.0, 98058.0]",0-1,3,1.0,3,0.0,47.4375,-122.184,239.6694214876033,0.3333333333333333,0.0008264462809917355,0.0024793388429752068
105,375000.0,2340,3,2.5,1.0,4,0.0,1978,98058,70s,"(98053.0, 98058.0]",2-3,3,1.0,4,0.0,47.4431,-122.133,160.25641025641025,0.8333333333333334,0.0010683760683760685,0.001282051282051282
106,460000.0,1670,3,1.0,1.5,4,0.0,1939,98117,30s,"(98115.0, 98118.0]",0-1,3,1.5,4,0.0,47.6878,-122.38,275.4491017964072,0.3333333333333333,0.0005988023952095808,0.0017964071856287425
107,188500.0,1240,2,1.75,1.0,4,0.0,1985,98198,80s,"(98177.0, 98199.0]",1-2,2,1.0,4,0.0,47.3813,-122.322,152.01612903225808,0.875,0.001411290322580645,0.0016129032258064516
108,680000.0,3140,4,2.5,2.0,4,0.0,1991,98077,90s,"(98075.0, 98103.0]",2-3,4,2.0,4,0.0,47.7304,-122.08200000000001,216.56050955414014,0.625,0.0007961783439490446,0.0012738853503184713
110,597750.0,2310,4,2.5,2.0,3,0.0,1984,98027,80s,"(98023.0, 98029.0]",2-3,4,2.0,3,0.0,47.5386,-122.053,258.76623376623377,0.625,0.0010822510822510823,0.0017316017316017316
111,570000.0,1260,3,1.75,1.0,5,0.0,1905,98103,pre-20s,"(98075.0, 98103.0]",1-2,3,1.0,5,0.0,47.6823,-122.34899999999999,452.3809523809524,0.5833333333333334,0.001388888888888889,0.002380952380952381
112,272500.0,1540,3,1.75,1.0,4,0.0,1980,98038,70s,"(98033.0, 98038.0]",1-2,3,1.0,4,0.0,47.3624,-122.031,176.94805194805195,0.5833333333333334,0.0011363636363636363,0.001948051948051948
113,329950.0,2080,3,1.75,1.0,3,2.0,1971,98108,70s,"(98107.0, 98115.0]",1-2,3,1.0,3,2.0,47.5474,-122.295,158.62980769230768,0.5833333333333334,0.0008413461538461539,0.0014423076923076924
115,740500.0,4380,3,3.5,2.0,3,0.0,1900,98117,pre-20s,"(98115.0, 98118.0]",3-4,3,2.0,3,0.0,47.6981,-122.368,169.06392694063928,1.1666666666666667,0.0007990867579908676,0.0006849315068493151
116,518500.0,1590,3,3.5,3.0,3,0.0,2010,98103,00s,"(98075.0, 98103.0]",3-4,3,3.0,3,0.0,47.6824,-122.34700000000001,326.1006289308176,1.1666666666666667,0.00220125786163522,0.0018867924528301887
117,205425.0,880,2,1.0,1.0,4,0.0,1945,98178,40s,"(98177.0, 98199.0]",0-1,2,1.0,4,0.0,47.5009,-122.24799999999999,233.4375,0.5,0.0011363636363636363,0.0022727272727272726
118,171800.0,1570,4,2.0,1.0,3,0.0,1950,98168,40s,"(98155.0, 98177.0]",1-2,4,1.0,3,0.0,47.4965,-122.303,109.4267515923567,0.5,0.0012738853503184713,0.0025477707006369425
119,535000.0,1610,4,1.0,1.5,4,0.0,1925,98144,20s,"(98133.0, 98155.0]",0-1,4,1.5,4,0.0,47.586999999999996,-122.294,332.29813664596276,0.25,0.0006211180124223603,0.002484472049689441
120,660000.0,2400,3,2.5,1.0,3,2.0,1964,98177,60s,"(98155.0, 98177.0]",2-3,3,1.0,3,2.0,47.7728,-122.38600000000001,275.0,0.8333333333333334,0.0010416666666666667,0.00125
121,391500.0,1450,3,2.0,1.0,3,0.0,1987,98034,80s,"(98033.0, 98038.0]",1-2,3,1.0,3,0.0,47.7288,-122.226,270.0,0.6666666666666666,0.001379310344827586,0.0020689655172413794
122,395000.0,770,2,1.0,1.0,3,0.0,1953,98117,50s,"(98115.0, 98118.0]",0-1,2,1.0,3,0.0,47.6999,-122.36399999999999,512.987012987013,0.5,0.0012987012987012987,0.0025974025974025974
123,445000.0,2100,4,1.75,1.5,5,0.0,1924,98118,20s,"(98115.0, 98118.0]",1-2,4,1.5,5,0.0,47.5299,-122.266,211.9047619047619,0.4375,0.0008333333333333334,0.0019047619047619048
124,770000.0,2910,3,2.25,2.0,3,0.0,1990,98052,80s,"(98042.0, 98053.0]",2-3,3,2.0,3,0.0,47.6897,-122.098,264.6048109965636,0.75,0.0007731958762886598,0.0010309278350515464
125,1450000.0,2750,4,2.75,1.5,3,0.0,1914,98004,pre-20s,"(98000.999, 98004.0]",2-3,4,1.5,3,0.0,47.6141,-122.212,527.2727272727273,0.6875,0.001,0.0014545454545454545
126,445000.0,2100,3,2.25,1.0,3,2.0,1967,98178,60s,"(98177.0, 98199.0]",2-3,3,1.0,3,2.0,47.5091,-122.244,211.9047619047619,0.75,0.0010714285714285715,0.0014285714285714286
127,260000.0,2160,4,2.25,1.0,3,0.0,1978,98023,70s,"(98010.0, 98023.0]",2-3,4,1.0,3,0.0,47.3129,-122.39,120.37037037037037,0.5625,0.0010416666666666667,0.001851851851851852
130,212000.0,1060,3,1.75,1.0,4,0.0,1986,98092,80s,"(98075.0, 98103.0]",1-2,3,1.0,4,0.0,47.2761,-122.152,200.0,0.5833333333333334,0.0016509433962264152,0.002830188679245283
131,660500.0,2010,4,2.25,1.0,3,0.0,1986,98027,80s,"(98023.0, 98029.0]",2-3,4,1.0,3,0.0,47.5343,-122.054,328.60696517412936,0.5625,0.001119402985074627,0.001990049751243781
132,784000.0,3950,3,3.5,1.5,3,0.0,1989,98052,80s,"(98042.0, 98053.0]",3-4,3,1.5,3,0.0,47.696999999999996,-122.072,198.48101265822785,1.1666666666666667,0.0008860759493670886,0.0007594936708860759
133,453246.0,2010,3,2.5,2.0,3,0.0,2014,98029,10s,"(98023.0, 98029.0]",2-3,3,2.0,3,0.0,47.5517,-121.99799999999999,225.4955223880597,0.8333333333333334,0.0012437810945273632,0.0014925373134328358
134,675000.0,2140,4,3.5,3.0,3,0.0,2005,98107,00s,"(98103.0, 98107.0]",3-4,4,3.0,3,0.0,47.6734,-122.38,315.42056074766356,0.875,0.0016355140186915889,0.001869158878504673
135,199000.0,1320,3,1.75,1.0,4,0.0,1956,98003,50s,"(98000.999, 98004.0]",1-2,3,1.0,4,0.0,47.3257,-122.296,150.75757575757575,0.5833333333333334,0.0013257575757575758,0.0022727272727272726
136,220000.0,2020,4,1.75,1.0,3,0.0,1968,98003,60s,"(98000.999, 98004.0]",1-2,4,1.0,3,0.0,47.3309,-122.29899999999999,108.91089108910892,0.4375,0.0008663366336633663,0.0019801980198019802
137,452000.0,2590,4,2.25,1.0,4,0.0,1968,98028,60s,"(98023.0, 98029.0]",2-3,4,1.0,4,0.0,47.7689,-122.266,174.51737451737452,0.5625,0.0008687258687258687,0.0015444015444015444
138,382500.0,1190,2,1.0,1.0,3,0.0,1981,98125,80s,"(98118.0, 98125.0]",0-1,2,1.0,3,0.0,47.7135,-122.287,321.42857142857144,0.5,0.0008403361344537816,0.0016806722689075631
139,519950.0,1170,3,2.25,3.0,3,0.0,2014,98107,10s,"(98103.0, 98107.0]",2-3,3,3.0,3,0.0,47.6722,-122.381,444.4017094017094,0.75,0.0019230769230769232,0.002564102564102564
